name,price,rating,large_image_url,medium_image_url,small_image_url
UOL Organic Centrifugal Extra Virgin Coconut Oil,1790,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/32014.png,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/32014.png,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/32014.png
UOL Organic Chia seed,1490,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/42652.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/42652.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/42652.jpg
UOL Organic Tri-Color Quinoa,1490,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/71314.JPG,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/71314.JPG,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/71314.JPG
UOL Organic Buckwheat,940,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/12348.JPG,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/12348.JPG,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/12348.JPG
UOL Organic Black Rice,990,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/80921.png,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/80921.png,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/80921.png
UOL Organic Extra Virgin Olive Oil,2190,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/90670.png,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/90670.png,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/90670.png
KARKUMA JOINT GUARD,2170,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/2002.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/2002.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/2002.jpg
KARKUMA IMMUNE PLUS,850,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/70646.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/70646.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/70646.jpg
UOL Organic Almond Nuts,850,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/53764.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/53764.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/53764.jpg
Karkuma Super Food,1000,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/48342.png,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/48342.png,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/48342.png
KARKUMA ORGANIC HEALTHY GUT,800,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/53072.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/53072.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/53072.jpg
Karkuma Organic Turmeric Immune Booster,390,3,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/large/26139.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/medium/26139.jpg,https://uol-v2-space.sgp1.digitaloceanspaces.com/frontend/images/product_images/small/26139.jpg
